,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Final
0,0,Intercept,-1.3740415602265033,,Intercept,312.69090353401333,313.0
1,1,grade:A,1.1236598117733079,0.0,grade,86.6924689212624,87.0
2,2,grade:B,0.8789196496332105,0.0,grade,67.81030487320304,68.0
3,3,grade:C,0.6847974360668241,0.0,grade,52.83341080775455,53.0
4,4,grade:D,0.4969228259788479,0.0,grade,38.33853110707158,38.0
5,5,grade:E,0.3214921035882566,0.0,grade,24.80372075848435,25.0
6,6,grade:F,0.13428257292898615,0.006,grade,10.360153187236932,10.0
7,7,home_ownership:OWN,0.09351392324946838,0.0,home_ownership,7.214775148197067,7.0
8,8,home_ownership:MORTGAGE,0.10624933050984205,0.0,home_ownership,8.197335783143316,8.0
9,9,addr_state:NM_VA,0.0360187864246875,0.261,addr_state,2.7789171508910098,3.0
10,10,addr_state:NY,0.05555633478588157,0.022,addr_state,4.286275771670966,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057996153619331345,0.012,addr_state,4.47451238579224,4.0
12,12,addr_state:CA,0.062151017719633446,0.003,addr_state,4.79506796953165,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645951001055616,0.002,addr_state,5.898995074732056,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344141513405927,0.0,addr_state,10.29525628051256,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789462696022287,0.001,addr_state,7.552754682855783,8.0
16,16,addr_state:GA_WA_OR,0.18376201915064125,0.0,addr_state,14.177585571013855,14.0
17,17,addr_state:WI_MT,0.23791453599844267,0.0,addr_state,18.355554147132402,18.0
18,18,addr_state:TX,0.22095965880898497,0.0,addr_state,17.047453467184425,17.0
19,19,addr_state:IL_CT,0.2599006364328734,0.0,addr_state,20.05182316791694,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31856440027914174,0.0,addr_state,24.577842938990592,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219648072084857,0.0,addr_state,40.270567081599424,40.0
22,22,verification_status:Not Verified,0.0857195352971179,0.0,verification_status,6.613423450610745,7.0
23,23,verification_status:Source Verified,-0.011184334104748303,0.405,verification_status,-0.8628924222632235,-1.0
24,24,purpose:credit_card,0.3018552773912102,0.0,purpose,23.288702665852664,23.0
25,25,purpose:debt_consolidation,0.19808552698059204,0.0,purpose,15.282671153305715,15.0
26,26,purpose:oth__med__vacation,0.21282597025444264,0.0,purpose,16.41992408966127,16.0
27,27,purpose:major_purch__car__home_impr,0.26626221906007025,0.0,purpose,20.542631238491207,21.0
28,28,initial_list_status:w,0.0538274522654006,0.0,initial_list_status,4.152889231897175,4.0
29,29,term:36,0.07894273016867633,0.0,term,6.090580182721943,6.0
30,30,emp_length:1,0.09915717004669586,0.0,emp_length,7.650162257763245,8.0
31,31,emp_length:2-4,0.1258522455914277,0.0,emp_length,9.709737569405082,10.0
32,32,emp_length:5-6,0.09109175220746975,0.0,emp_length,7.027900094394919,7.0
33,33,emp_length:7-9,0.0611433828548171,0.003,emp_length,4.717327043597659,5.0
34,34,emp_length:10,0.12504340573963246,0.0,emp_length,9.647334052807494,10.0
35,35,mths_since_issue_d:<38,1.0842041785143999,0.0,mths_since_issue_d,83.64839256983669,84.0
36,36,mths_since_issue_d:38-39,0.8791918989543359,0.0,mths_since_issue_d,67.83130942063208,68.0
37,37,mths_since_issue_d:40-41,0.778250011540112,0.0,mths_since_issue_d,60.04345285957833,60.0
38,38,mths_since_issue_d:42-48,0.5771582751803267,0.0,mths_since_issue_d,44.52884699574379,45.0
39,39,mths_since_issue_d:49-52,0.4156848485300629,0.0,mths_since_issue_d,32.070868277615645,32.0
40,40,mths_since_issue_d:53-64,0.16993433356023463,0.0,mths_since_issue_d,13.110753607514607,13.0
41,41,mths_since_issue_d:65-84,-0.07179065342086052,0.014,mths_since_issue_d,-5.53878400323235,-6.0
42,42,int_rate:<9.548,0.8831511697474674,0.0,int_rate,68.13677461266624,68.0
43,43,int_rate:9.548-12.025,0.5586643442167543,0.0,int_rate,43.10200542101376,43.0
44,44,int_rate:12.025-15.74,0.30613224431779856,0.0,int_rate,23.618678712406627,24.0
45,45,int_rate:15.74-20.281,0.11316792553561483,0.0,int_rate,8.731118408423868,9.0
46,46,mths_since_earliest_cr_line:141-164,0.055771173828235134,0.025,mths_since_earliest_cr_line,4.3028510080611655,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03716162337746963,0.064,mths_since_earliest_cr_line,2.8670891723276215,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07947872833004202,0.002,mths_since_earliest_cr_line,6.131933449483986,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12204143535863236,0.0,mths_since_earliest_cr_line,9.41572638896599,9.0
50,50,mths_since_earliest_cr_line:>352,0.12936080416115434,0.0,mths_since_earliest_cr_line,9.980429465277405,10.0
51,51,inq_last_6mths:0,0.666270910909046,0.0,inq_last_6mths,51.40405452960754,51.0
52,52,inq_last_6mths:1-2,0.5197660666771241,0.0,inq_last_6mths,40.1009301121325,40.0
53,53,inq_last_6mths:3-6,0.3095466088298851,0.0,inq_last_6mths,23.882103359482677,24.0
54,54,acc_now_delinq:>=1,0.1803632967177752,0.089,acc_now_delinq,13.915367739784097,14.0
55,55,annual_inc:20K-30K,-0.08151748170161292,0.053,annual_inc,-6.289227108517764,-6.0
56,56,annual_inc:30K-40K,-0.01891971593132641,0.64,annual_inc,-1.459691686211635,-1.0
57,57,annual_inc:40K-50K,0.07568112033443841,0.061,annual_inc,5.8389408464875,6.0
58,58,annual_inc:50K-60K,0.14254884959440325,0.0,annual_inc,10.99791198701129,11.0
59,59,annual_inc:60K-70K,0.2180964781661579,0.0,annual_inc,16.826553692810077,17.0
60,60,annual_inc:70K-80K,0.2915480717482149,0.0,annual_inc,22.493482354947123,22.0
61,61,annual_inc:80K-90K,0.36739075133989635,0.0,annual_inc,28.344887802144495,28.0
62,62,annual_inc:90K-100K,0.38719986369921755,0.0,annual_inc,29.87319809639457,30.0
